EXP044698	None	Homo sapiens	430	HepG2 (hepatoblastoma)	READS055974; READS055975; READS055976; READS055977	ALIGNS049780	PEAKS044685	GSE105576	ENCSR356ECR	EXP044671	430	HepG2 (hepatoblastoma)	READS055908; READS055909	ALIGNS049753	GSE106027	ENCSR867VPL
EXP044943	EP300_HUMAN	Homo sapiens	744	breast epithelial cells	READS056669; READS056670	ALIGNS050025	PEAKS044930	GSE105551	ENCSR432OIW	EXP044670	744	breast epithelial cells	READS055906; READS055907	ALIGNS049752	GSE105883	ENCSR728WVG
EXP044902	FIP1_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS056547; READS056548	ALIGNS049984	PEAKS044889	None	ENCSR313VZG	EXP044669	430	HepG2 (hepatoblastoma)	READS055904; READS055905	ALIGNS049751	None	ENCSR141EZP
EXP044784	PCBP2_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS056195; READS056196; READS056197; READS056198	ALIGNS049866	PEAKS044771	None	ENCSR945NSF	EXP044668	430	HepG2 (hepatoblastoma)	READS055902; READS055903	ALIGNS049750	None	ENCSR975KJI
EXP045085	PRP4_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS057028; READS057029; READS057030; READS057031	ALIGNS050167	PEAKS045072	None	ENCSR243LNQ	EXP044668	430	HepG2 (hepatoblastoma)	READS055902; READS055903	ALIGNS049750	None	ENCSR975KJI
EXP045257	None	Homo sapiens	514	K562 (myelogenous leukemia)	READS057532; READS057533; READS057534; READS057535	ALIGNS050339	PEAKS045244	None	ENCSR462QZZ	EXP044667	514	K562 (myelogenous leukemia)	READS055900; READS055901	ALIGNS049749	None	ENCSR625UIZ
EXP044678	HNRPL_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS055927; READS055928	ALIGNS049760	PEAKS044665	GSE105497	ENCSR315JJE	EXP044665	430	HepG2 (hepatoblastoma)	READS055897; READS055898	ALIGNS049747	GSE105920	ENCSR735QJO
EXP044687	T2FA_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS055948; READS055949	ALIGNS049769	PEAKS044674	GSE105598	ENCSR382PVA	EXP044665	430	HepG2 (hepatoblastoma)	READS055897; READS055898	ALIGNS049747	GSE105920	ENCSR735QJO
EXP044823	U2AF1_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS056318; READS056319	ALIGNS049905	PEAKS044810	GSE106030	ENCSR868JLS	EXP044665	430	HepG2 (hepatoblastoma)	READS055897; READS055898	ALIGNS049747	GSE105920	ENCSR735QJO
EXP044974	RU17_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS056740; READS056741	ALIGNS050056	PEAKS044961	GSE105306	ENCSR128IYN	EXP044665	430	HepG2 (hepatoblastoma)	READS055897; READS055898	ALIGNS049747	GSE105920	ENCSR735QJO
EXP045101	U2AF2_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS057082; READS057083	ALIGNS050183	PEAKS045088	GSE106003	ENCSR991ADX	EXP044665	430	HepG2 (hepatoblastoma)	READS055897; READS055898	ALIGNS049747	GSE105920	ENCSR735QJO
EXP045107	PCBP1_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS057100; READS057101	ALIGNS050189	PEAKS045094	GSE106035	ENCSR872EVQ	EXP044665	430	HepG2 (hepatoblastoma)	READS055897; READS055898	ALIGNS049747	GSE105920	ENCSR735QJO
EXP045163	HNRL1_HUMAN	Homo sapiens	430	HepG2 (hepatoblastoma)	READS057268; READS057269	ALIGNS050245	PEAKS045150	GSE105370	ENCSR183AXJ	EXP044665	430	HepG2 (hepatoblastoma)	READS055897; READS055898	ALIGNS049747	GSE105920	ENCSR735QJO
EXP044712	RU17_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS056009; READS056010	ALIGNS049794	PEAKS044699	GSE105974	ENCSR754ZHU	EXP044664	514	K562 (myelogenous leukemia)	READS055895; READS055896	ALIGNS049746	GSE105930	ENCSR966DOU
EXP044919	HNRL1_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS056605; READS056606	ALIGNS050001	PEAKS044906	GSE105438	ENCSR296MXW	EXP044664	514	K562 (myelogenous leukemia)	READS055895; READS055896	ALIGNS049746	GSE105930	ENCSR966DOU
EXP044970	CCAR2_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS056730; READS056731	ALIGNS050052	PEAKS044957	None	ENCSR598GER	EXP044664	514	K562 (myelogenous leukemia)	READS055895; READS055896	ALIGNS049746	GSE105930	ENCSR966DOU
EXP045011	RBM39_HUMAN	Homo sapiens	514	K562 (myelogenous leukemia)	READS056833; READS056834	ALIGNS050093	PEAKS044998	None	ENCSR764OXF	EXP044664	514	K562 (myelogenous leukemia)	READS055895; READS055896	ALIGNS049746	GSE105930	ENCSR966DOU
